parcelid,propertyhousenum,propertyaddress,munidesc,fairmarkettotal,lat,lon,appeal,fill,symbol,title,tooltip
0305B00200000000,0,EDGEWOOD AVE,West Mifflin  ,80000,40.373639685875489,-79.863927696948849,True,#fa8c00,locator, ,"<b>Address:</b> 0 EDGEWOOD AVE
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $80,000"
0306J00250000000,0,RIVERVIEW AVE,West Mifflin  ,30500,40.358503189929465,-79.863904444719083,True,#fa8c00,locator, ,"<b>Address:</b> 0 RIVERVIEW AVE
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $30,500"
0306K00250000000,0,R OF W ,West Mifflin  ,14600,40.358504222919002,-79.859464900172895,True,#fa8c00,locator, ,"<b>Address:</b> 0 R OF W 
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $14,600"
0306M00080000000,0,DUQUESNE AVE,West Mifflin  ,57500,40.359877629135177,-79.850059393973751,True,#fa8c00,locator, ,"<b>Address:</b> 0 DUQUESNE AVE
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $57,500"
0309E00030000000,0,PITTSBURGH MCKEESPORT BLVD,Dravosburg  ,2300,40.352413799368030,-79.893610770271664,True,#fa8c00,locator, ,"<b>Address:</b> 0 PITTSBURGH MCKEESPORT BLVD
<b>Municipality:</b> Dravosburg  
<b>Tax value:</b> $2,300"
0309E00060000001,0,PITTSBURGH MCKEESPORT BLVD,Dravosburg  ,53300,40.352657808965944,-79.894120528029902,True,#fa8c00,locator, ,"<b>Address:</b> 0 PITTSBURGH MCKEESPORT BLVD
<b>Municipality:</b> Dravosburg  
<b>Tax value:</b> $53,300"
0309E00060000002,0,BETTIS RD,Dravosburg  ,53300,40.352657808965944,-79.894120528029902,True,#fa8c00,locator, ,"<b>Address:</b> 0 BETTIS RD
<b>Municipality:</b> Dravosburg  
<b>Tax value:</b> $53,300"
0309E00115000000,0,PITTSBURGH MCKEESPORT BLVD,Dravosburg  ,800,40.351741307691597,-79.896786488048193,True,#fa8c00,locator, ,"<b>Address:</b> 0 PITTSBURGH MCKEESPORT BLVD
<b>Municipality:</b> Dravosburg  
<b>Tax value:</b> $800"
0309M00175000000,0,MCCLURE ST,Dravosburg  ,500,40.348778711786700,-79.884426396355138,True,#fa8c00,locator, ,"<b>Address:</b> 0 MCCLURE ST
<b>Municipality:</b> Dravosburg  
<b>Tax value:</b> $500"
0312J00050000000,555,DELWAR RD,West Mifflin  ,130400,40.350943648848848,-79.945140625847770,True,#fa8c00,locator, ,"<b>Address:</b> 555 DELWAR RD
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $130,400"
0313C00225000000,555,DELWAR RD,West Mifflin  ,1117800,40.358033894060142,-79.946441276094191,True,#fa8c00,locator, ,"<b>Address:</b> 555 DELWAR RD
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $1,117,800"
0376A00100000000,0,BRADDOCK AVE,East Pittsburgh  ,44000,40.393275756141229,-79.843779314920098,True,#fa8c00,locator, ,"<b>Address:</b> 0 BRADDOCK AVE
<b>Municipality:</b> East Pittsburgh  
<b>Tax value:</b> $44,000"
0376A00375000001,1300,BRADDOCK AVE,North Versailles  ,950000,40.393183047117688,-79.850057732662492,True,#fa8c00,locator, ,"<b>Address:</b> 1300 BRADDOCK AVE
<b>Municipality:</b> North Versailles  
<b>Tax value:</b> $950,000"
0384K00120000001,0,WASHINGTON ST,West Mifflin  ,557200,40.338942126219912,-79.893847696706004,True,#fa8c00,locator, ,"<b>Address:</b> 0 WASHINGTON ST
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $557,200"
0385G00069000000,602,HELENA ST,West Mifflin  ,321400,40.345346856990972,-79.904657653807192,True,#fa8c00,locator, ,"<b>Address:</b> 602 HELENA ST
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $321,400"
0385G00080000000,1263,LEBANON SCHOOL RD,West Mifflin  ,28700,40.342008011095729,-79.906466043400002,True,#fa8c00,locator, ,"<b>Address:</b> 1263 LEBANON SCHOOL RD
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $28,700"
0385J00100000001,1301,CAMP HOLLOW RD,West Mifflin  ,15149800,40.333118238608890,-79.903717403958751,True,#fa8c00,locator, ,"<b>Address:</b> 1301 CAMP HOLLOW RD
<b>Municipality:</b> West Mifflin  
<b>Tax value:</b> $15,149,800"
0558J00003000000,0,OLD NEW ENGLAND RD,Jefferson Hills,29200,40.319442616064727,-79.899162189986981,True,#fa8c00,locator, ,"<b>Address:</b> 0 OLD NEW ENGLAND RD
<b>Municipality:</b> Jefferson Hills
<b>Tax value:</b> $29,200"
