parcelid,address,muni,lat,lon,tract
0027H00047020300,220 N BELLEFIELD AVE PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.448955105958582,-79.952790088810929,562000
0027G00188000000,4255 PARKMAN AVE PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.448557029633832,-79.957000625786208,562000
0027G00056000000,4218 CENTRE AVE PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.448635060953336,-79.957649793205448,562000
0027G00045000000,4345 SCHENLEY FARMS TER PITTSBURGH PA 15213,5TH WARD - PITTSBURGH,40.450278240840369,-79.956491643339518,050600
0026S00051000300,420 N CRAIG ST PITTSBURGH PA 15213,5TH WARD - PITTSBURGH,40.454681976116902,-79.953370900128107,562000
0026P00138000000,713 CLARISSA ST PITTSBURGH PA 15219,5TH WARD - PITTSBURGH,40.453991191145739,-79.960915622072946,050600
0026N00169000A00,3350 MCNEIL PL PITTSBURGH PA 15219,5TH WARD - PITTSBURGH,40.454287945119908,-79.963791529231841,050600
0026H00139000000,0 JUNIPER ST PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.458362506610392,-79.951706746714564,080200
0026B00322000000,3711 MELWOOD AVE PITTSBURGH PA 15213,6TH WARD - PITTSBURGH,40.460183533961697,-79.958426761549930,060500
0025N00218040700,2545 PENN AVE PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454754405797665,-79.979119573547393,020300
0025N00218040300,2545 PENN AVE PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454806871563711,-79.979040190491347,020300
0025N00218020100,2545 PENN AVE PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454708543579009,-79.979099759518832,020300
0025N00101030400,2554 SMALLMAN ST PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454979492288629,-79.979597195486349,020300
0025N00080042200,2434 SMALLMAN ST PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454271965663715,-79.980533161791556,020300
0025N00080011800,2434 SMALLMAN ST PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454259705505279,-79.980872052755743,020300
0025N00030040300,2419 SMALLMAN ST PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454647135960762,-79.981027504126800,020300
0025N00030030700,2419 SMALLMAN ST PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454645698851003,-79.981104410525148,020300
0025N00030030200,2419 SMALLMAN ST PITTSBURGH PA 15222,2ND WARD - PITTSBURGH,40.454661670573437,-79.981122759473493,020300
0025M00149000000,3031 BRERETON ST PITTSBURGH PA 15219,6TH WARD - PITTSBURGH,40.456750142251536,-79.968789082779708,060500
0025F0017700C200,2901 SMALLMAN ST PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.458779808484245,-79.974938315073771,020300
0025F0017700B300,2901 SMALLMAN ST PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.458845717806852,-79.975019846259869,020300
0025A00212000000,84 WATERFRONT DR PITTSBURGH PA 15222,24TH WARD - PITTSBURGH,40.460898435728836,-79.980110497854497,241300
0025A00152000000,52 WATERFRONT DR PITTSBURGH PA 15222,24TH WARD - PITTSBURGH,40.461727045778311,-79.979917205297824,241300
0024F00152000000,1032 SPRING GARDEN AVE PITTSBURGH PA 15212,23RD WARD - PITTSBURGH,40.459257377799183,-79.993909117253708,241300
0023M00256000000,918 JAMES ST PITTSBURGH PA 15212,23RD WARD - PITTSBURGH,40.455662548044934,-80.001063805829887,563202
0023M00224000000,910 CEDAR AVE PITTSBURGH PA 15212,23RD WARD - PITTSBURGH,40.455306801923825,-80.002000930621790,563202
0023M00215000000,1002 CEDAR AVE PITTSBURGH PA 15212,23RD WARD - PITTSBURGH,40.455921820544056,-80.002196021049187,563202
0023L00003000000,1352 FEDERAL ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.457511205987856,-80.006986082049067,565100
0023K00355000000,1218-1220 ARCH ST PITTSBURGH PA 15212,22ND WARD - PITTSBURGH,40.456319660071152,-80.008714411978062,565100
0023K00330000000,115 SAMPSONIA ST PITTSBURGH PA 15212,22ND WARD - PITTSBURGH,40.457288600540338,-80.008973751638422,565100
0023J00217000000,508 N TAYLOR AVE PITTSBURGH PA 15212,22ND WARD - PITTSBURGH,40.456600384492255,-80.012631455041301,565100
0023J00078000000,519 JACKSONIA ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.457110051434633,-80.012744155936304,565100
0023H00189000000,1332 JAMES ST PITTSBURGH PA 15212,23RD WARD - PITTSBURGH,40.457996876911302,-80.001833384801131,563202
0023F00228000000,211 CARRINGTON ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.458526600642053,-80.010281393120422,565100
0023E00295000A00,1526 BRIGHTON RD PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.457605253772073,-80.015616844772964,565100
0023E00290000A00,707 ARMANDALE ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.457877465003953,-80.015125183683566,565100
0023E00267000000,1519 MONTEREY ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.457675759227570,-80.013989976144273,565100
0023E00193000000,606 ARMANDALE ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.458358005741715,-80.014233554633165,565100
0023E00191000000,602 ARMANDALE ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.458382599354977,-80.014093242295075,565100
0023E00189000000,1608 MONTEREY ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.458450690885080,-80.013850899191738,565100
0023C00089000000,1719 MEADVILLE ST PITTSBURGH PA 15214,25TH WARD - PITTSBURGH,40.461672159456569,-80.005775919639774,250900
0022S00110000000,913 W NORTH AVE PITTSBURGH PA 15233,22ND WARD - PITTSBURGH,40.453226695671404,-80.017543602416083,562700
0022H00047050400,220 N BELLEFIELD AVE PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.449097667049450,-79.952755112367370,562000
0022G00188000000,934 CALIFORNIA AVE PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.459228219193612,-80.020480901729272,565200
0022G00084000000,1004 KIRKBRIDE ST PITTSBURGH PA 15212,21ST WARD - PITTSBURGH,40.459709914444055,-80.021849055846701,565200
0022G00083000000,1002 KIRKBRIDE ST PITTSBURGH PA 15212,21ST WARD - PITTSBURGH,40.459718993210828,-80.021788443331005,565200
0022D00402000000,844 BRIGHTRIDGE ST PITTSBURGH PA 15214,25TH WARD - PITTSBURGH,40.461961093054185,-80.018620825980463,261400
0022D00220000000,858 BRIGHTRIDGE ST PITTSBURGH PA 15214,25TH WARD - PITTSBURGH,40.461784628041492,-80.018850982886718,261400
0022D00204000000,843 BRIGHTRIDGE ST PITTSBURGH PA 15214,25TH WARD - PITTSBURGH,40.461788144405645,-80.018373018451683,261400
0022D00105000000,846 KIRKBRIDE ST PITTSBURGH PA 15212,25TH WARD - PITTSBURGH,40.460273298267687,-80.018741972392348,565200
0022C00173000000,1011 MORRISON ST PITTSBURGH PA 15212,21ST WARD - PITTSBURGH,40.460141737697896,-80.022145390167012,565200
0022C00172000000,1009 MORRISON ST PITTSBURGH PA 15212,21ST WARD - PITTSBURGH,40.460152061471291,-80.022084066106700,565200
0022C00092000000,1110 MORRISON ST PITTSBURGH PA 15212,21ST WARD - PITTSBURGH,40.460215213129842,-80.023491420459195,565200
0022B00253000000,1237 STRANMORE ST PITTSBURGH PA 15212,21ST WARD - PITTSBURGH,40.460540153931184,-80.025726851363032,565200
0020S00075000000,202 FAIRVIEW AVE PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.443927711271279,-80.036327995285589,562600
0020S00056000000,213 FAIRVIEW AVE PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.444514430334181,-80.036210036287969,562600
0020R00214000000,914 WILHELM ST PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.444954862535745,-80.037887456996572,562600
0020R00201000000,0 WILHELM ST PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.444690479450117,-80.038149041176652,562600
0020R00200000000,915 WILHELM ST PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.444769409879179,-80.038235698743321,562600
0020R00171000000,913 GIBSON ST PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.444298883694827,-80.038804039157867,562600
0020K00038000000,1247 CHARTIERS AVE PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.446675974571583,-80.044538487168467,281400
0019B00100000000,910 HARKER ST PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.442142934888736,-80.042705869057187,562600
0018N00230000000,1031 MCKENNA AVE PITTSBURGH PA 15205,GREENTREE,40.424864824581981,-80.046252135087684,469000
0018J00150000000,112 MCKENNA AVE PITTSBURGH PA 15205,GREENTREE,40.426089678645496,-80.048620479559943,469000
0018G00168000000,714 HESTOR DR PITTSBURGH PA 15220,20TH WARD - PITTSBURGH,40.428825894949455,-80.038774846958688,563100
0017K00058000000,14 LEON RD PITTSBURGH PA 15220,GREENTREE,40.418012497186353,-80.043775508169134,469000
0016R00041000000,1319 FALLOWFIELD AVE PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.415576958110258,-80.023744655589738,191600
